"Código do Produto","Código do Tipo","Código da Apresentação","Código do Sabor","Valor da Caixa"
"LF.C02.0040-4","LF","C02","0040-4",35.94
"LF.C02.0041-3","LF","C02","0041-3",63.75
"LF.C02.0042-2","LF","C02","0042-2",37.01
"LF.C02.0043-1","LF","C02","0043-1",59.01
"LF.C02.0044-0","LF","C02","0044-0",91.24
"LF.C02.0045-8","LF","C02","0045-8",97.30
"LF.C02.0046-7","LF","C02","0046-7",62.90
"LF.C02.0047-6","LF","C02","0047-6",121.66
"LF.C02.0048-5","LF","C02","0048-5",109.42
"LF.C02.0049-4","LF","C02","0049-4",87.08
"LF.C02.0050-3","LF","C02","0050-3",91.49
"LF.C02.0051-2","LF","C02","0051-2",91.81
"LF.C02.0052-1","LF","C02","0052-1",105.35
"LF.C02.0053-0","LF","C02","0053-0",80.14
"LF.C02.0054-8","LF","C02","0054-8",119.45
"LF.C02.0055-7","LF","C02","0055-7",42.31
"LF.C02.0056-6","LF","C02","0056-6",108.09
"LF.C02.0057-5","LF","C02","0057-5",109.41
"LF.C02.0058-4","LF","C02","0058-4",124.50
"LF.C02.0059-3","LF","C02","0059-3",103.27
"LF.C02.0060-2","LF","C02","0060-2",111.91
"LF.C02.0061-1","LF","C02","0061-1",95.55
"LF.C02.0062-0","LF","C02","0062-0",91.65
"LF.C02.0063-8","LF","C02","0063-8",124.68
"LF.C02.0064-7","LF","C02","0064-7",73.88
"LF.C02.0065-6","LF","C02","0065-6",69.47
"LF.C02.0066-5","LF","C02","0066-5",44.89
"LF.C02.0067-4","LF","C02","0067-4",35.07
"LF.C02.0068-3","LF","C02","0068-3",38.25
"LF.C02.0069-2","LF","C02","0069-2",90.65
"LF.C02.0070-1","LF","C02","0070-1",37.84
"LF.C02.0071-0","LF","C02","0071-0",69.95
"LF.C02.0072-8","LF","C02","0072-8",71.35
"LF.C02.0073-7","LF","C02","0073-7",42.10
"LF.C02.0074-6","LF","C02","0074-6",38.35
"LF.C02.0075-5","LF","C02","0075-5",92.57
"LF.C02.0076-4","LF","C02","0076-4",64.24
"LF.C02.0077-3","LF","C02","0077-3",126.04
"LF.C02.0078-2","LF","C02","0078-2",70.93
"LF.C02.0079-1","LF","C02","0079-1",103.90
"LF.C02.0080-0","LF","C02","0080-0",94.32
"LF.C02.0081-8","LF","C02","0081-8",72.56
"LF.C02.0082-7","LF","C02","0082-7",81.63
"LF.C02.0083-6","LF","C02","0083-6",92.00
"LF.C02.0084-5","LF","C02","0084-5",60.99
"LF.C02.0085-4","LF","C02","0085-4",51.43
"LF.C02.0086-3","LF","C02","0086-3",47.78
"LF.C02.0087-2","LF","C02","0087-2",111.18
"LF.C02.0088-1","LF","C02","0088-1",84.77
"LF.C02.0089-0","LF","C02","0089-0",57.78
"LF.C02.0090-8","LF","C02","0090-8",105.55
"LF.C02.0091-7","LF","C02","0091-7",38.89
"LF.C02.0092-6","LF","C02","0092-6",78.63
"LF.C02.0093-5","LF","C02","0093-5",49.72
"LF.C02.0094-4","LF","C02","0094-4",38.00
"LF.C02.0095-3","LF","C02","0095-3",55.26
"LF.C02.0096-2","LF","C02","0096-2",119.39
"LF.C02.0097-1","LF","C02","0097-1",97.91
"LF.C02.0098-0","LF","C02","0098-0",115.43
"LF.C02.0099-8","LF","C02","0099-8",64.05
"LF.C02.0100-7","LF","C02","0100-7",96.95
"LF.C02.0101-6","LF","C02","0101-6",85.43
"LF.C02.0102-5","LF","C02","0102-5",36.70
"LF.C02.0103-4","LF","C02","0103-4",40.50
"LF.C02.0104-3","LF","C02","0104-3",117.25
"LF.C02.0105-2","LF","C02","0105-2",77.01
"LF.C02.0106-1","LF","C02","0106-1",125.63
"LF.C02.0107-0","LF","C02","0107-0",101.15
"LF.C02.0108-8","LF","C02","0108-8",50.52
"LF.C02.0109-7","LF","C02","0109-7",102.50
"LF.C02.0110-6","LF","C02","0110-6",107.26
"LF.C02.0111-5","LF","C02","0111-5",120.59
"LF.C02.0112-4","LF","C02","0112-4",113.76
"LF.C02.0113-3","LF","C02","0113-3",95.36
"LF.C02.0114-2","LF","C02","0114-2",53.30
"LF.C02.0115-1","LF","C02","0115-1",110.04
"LF.C02.0116-0","LF","C02","0116-0",75.36
"LF.C02.0117-8","LF","C02","0117-8",47.03
"LF.C02.0118-7","LF","C02","0118-7",111.84
"LF.C02.0119-6","LF","C02","0119-6",101.58
"LF.C02.0120-5","LF","C02","0120-5",110.41
"LF.C02.0121-4","LF","C02","0121-4",101.98
"LF.C02.0122-3","LF","C02","0122-3",100.55
"LF.C02.0123-2","LF","C02","0123-2",106.01
"LF.C02.0124-1","LF","C02","0124-1",110.43
"LF.C02.0125-0","LF","C02","0125-0",115.18
"LF.C02.0126-8","LF","C02","0126-8",44.23
"LF.C02.0127-7","LF","C02","0127-7",56.65
"LF.C02.0128-6","LF","C02","0128-6",43.80
"LF.C02.0129-5","LF","C02","0129-5",46.88
"LF.C02.0130-4","LF","C02","0130-4",88.78
"LF.C02.0131-3","LF","C02","0131-3",86.79
"LF.C02.0132-2","LF","C02","0132-2",105.42
"LF.C02.0133-1","LF","C02","0133-1",56.59
"LF.C02.0134-0","LF","C02","0134-0",87.27
"LF.C02.0135-8","LF","C02","0135-8",98.99
"LF.C02.0136-7","LF","C02","0136-7",128.19
"LF.C02.0137-6","LF","C02","0137-6",60.67
"LF.C02.0138-5","LF","C02","0138-5",52.34
"LF.C02.0139-4","LF","C02","0139-4",54.34
"LF.C02.0140-3","LF","C02","0140-3",47.60
"LF.C02.0141-2","LF","C02","0141-2",118.89
"LF.C02.0142-1","LF","C02","0142-1",129.29
"LF.C02.0143-0","LF","C02","0143-0",41.94
"LF.C02.0144-8","LF","C02","0144-8",118.52
"LF.C02.0145-7","LF","C02","0145-7",114.42
"LF.C02.0146-6","LF","C02","0146-6",69.08
"LF.C02.0147-5","LF","C02","0147-5",113.34
"LF.C02.0148-4","LF","C02","0148-4",76.68
"LF.C02.0149-3","LF","C02","0149-3",100.02
"LF.C02.0150-2","LF","C02","0150-2",35.91
"LF.C02.0151-1","LF","C02","0151-1",72.80
"LF.C02.0152-0","LF","C02","0152-0",87.03
"LF.C02.0153-8","LF","C02","0153-8",104.58
"LF.C02.0154-7","LF","C02","0154-7",125.09
"LF.C02.0155-6","LF","C02","0155-6",53.44
"LF.C02.0156-5","LF","C02","0156-5",56.18
"LF.C02.0157-4","LF","C02","0157-4",81.46
"LF.C02.0158-3","LF","C02","0158-3",53.98
"LF.C02.0159-2","LF","C02","0159-2",59.73
"LF.C02.0160-1","LF","C02","0160-1",46.89
"LF.C02.0161-0","LF","C02","0161-0",84.74
"LF.C02.0162-8","LF","C02","0162-8",125.77
"LF.C02.0163-7","LF","C02","0163-7",75.91
"LF.C02.0164-6","LF","C02","0164-6",127.11
"LF.C02.0165-5","LF","C02","0165-5",38.81
"LF.C02.0166-4","LF","C02","0166-4",79.18
"LF.C02.0167-3","LF","C02","0167-3",127.26
"LF.C02.0168-2","LF","C02","0168-2",65.50
"LF.C02.0169-1","LF","C02","0169-1",40.84
"LF.C02.0170-0","LF","C02","0170-0",114.84
"LF.C02.0171-8","LF","C02","0171-8",124.32
"LF.C02.0172-7","LF","C02","0172-7",129.28
"LF.C02.0173-6","LF","C02","0173-6",98.13
"LF.C02.0174-5","LF","C02","0174-5",78.46
"LF.C02.0175-4","LF","C02","0175-4",126.84
"LF.C02.0176-3","LF","C02","0176-3",38.28
"LF.C02.0177-2","LF","C02","0177-2",44.07
"LF.C02.0178-1","LF","C02","0178-1",36.91
"LF.C02.0179-0","LF","C02","0179-0",119.92
"LF.C02.0180-8","LF","C02","0180-8",50.23
"LF.C02.0181-7","LF","C02","0181-7",70.47
"LF.C02.0182-6","LF","C02","0182-6",110.80
"LF.C02.0183-5","LF","C02","0183-5",124.26
"LF.C02.0184-4","LF","C02","0184-4",104.75
"LF.C02.0185-3","LF","C02","0185-3",103.05
"LF.C02.0186-2","LF","C02","0186-2",49.23
"LF.C02.0187-1","LF","C02","0187-1",65.42
"LF.C02.0188-0","LF","C02","0188-0",68.73
"LF.C02.0189-8","LF","C02","0189-8",77.72
"LF.C02.0190-7","LF","C02","0190-7",98.53
"LF.C02.0191-6","LF","C02","0191-6",124.61
"LF.C02.0192-5","LF","C02","0192-5",62.06
"LF.C02.0193-4","LF","C02","0193-4",122.85
"LF.C02.0194-3","LF","C02","0194-3",114.04
"LF.C02.0195-2","LF","C02","0195-2",83.59
"LF.C02.0196-1","LF","C02","0196-1",74.39
"LF.C02.0197-0","LF","C02","0197-0",119.22
"LF.C03.0001-7","LF","C03","0001-7",123.69
"LF.C03.0002-6","LF","C03","0002-6",127.73
"LF.C03.0003-5","LF","C03","0003-5",44.02
"LF.C03.0004-4","LF","C03","0004-4",113.52
"LF.C03.0005-3","LF","C03","0005-3",68.05
"LF.C03.0006-2","LF","C03","0006-2",45.92
"LF.C03.0007-1","LF","C03","0007-1",98.77
"LF.C03.0008-0","LF","C03","0008-0",46.76
"LF.C03.0009-8","LF","C03","0009-8",47.44
"LF.C03.0010-7","LF","C03","0010-7",42.48
"LF.C03.0011-6","LF","C03","0011-6",41.87
"LF.C03.0012-5","LF","C03","0012-5",73.70
"LF.C03.0013-4","LF","C03","0013-4",62.45
"LF.C03.0014-3","LF","C03","0014-3",119.61
"LF.C03.0015-2","LF","C03","0015-2",86.45
"LF.C03.0016-1","LF","C03","0016-1",51.89
"LF.C03.0017-0","LF","C03","0017-0",116.30
"LF.C03.0018-8","LF","C03","0018-8",108.13
"LF.C03.0019-7","LF","C03","0019-7",48.94
"LF.C03.0020-6","LF","C03","0020-6",68.42
"LF.C03.0021-5","LF","C03","0021-5",70.75
"LF.C03.0022-4","LF","C03","0022-4",56.40
"LF.C03.0023-3","LF","C03","0023-3",68.78
"LF.C03.0024-2","LF","C03","0024-2",92.07
"LF.C03.0025-1","LF","C03","0025-1",65.50
"LF.C03.0026-0","LF","C03","0026-0",108.99
"LF.C03.0027-8","LF","C03","0027-8",81.97
"LF.C03.0028-7","LF","C03","0028-7",120.68
"LF.C03.0029-6","LF","C03","0029-6",44.41
"LF.C03.0030-5","LF","C03","0030-5",63.47
"LF.C03.0031-4","LF","C03","0031-4",77.90
"LF.C03.0032-3","LF","C03","0032-3",71.53
"LF.C03.0033-2","LF","C03","0033-2",69.78
"LF.C03.0034-1","LF","C03","0034-1",85.59
"LF.C03.0035-0","LF","C03","0035-0",81.59
"LF.C03.0036-8","LF","C03","0036-8",93.76
"LF.C03.0037-7","LF","C03","0037-7",118.39
"LF.C03.0038-6","LF","C03","0038-6",104.84
"LF.C03.0039-5","LF","C03","0039-5",104.70
"LF.C03.0040-4","LF","C03","0040-4",35.58
"LF.C03.0041-3","LF","C03","0041-3",63.11
"LF.C03.0042-2","LF","C03","0042-2",36.64
"LF.C03.0043-1","LF","C03","0043-1",58.42
"LF.C03.0044-0","LF","C03","0044-0",90.33
"LF.C03.0045-8","LF","C03","0045-8",96.33
"LF.C03.0046-7","LF","C03","0046-7",62.27
"LF.C03.0047-6","LF","C03","0047-6",120.44
"LF.C03.0048-5","LF","C03","0048-5",108.33
"LF.C03.0049-4","LF","C03","0049-4",86.21
"LF.C03.0050-3","LF","C03","0050-3",90.58
"LF.C03.0051-2","LF","C03","0051-2",90.89
"LF.C03.0052-1","LF","C03","0052-1",104.30
"LF.C03.0053-0","LF","C03","0053-0",79.34
"LF.C03.0054-8","LF","C03","0054-8",118.26
"LF.C03.0055-7","LF","C03","0055-7",41.89
"LF.C03.0056-6","LF","C03","0056-6",107.01
"LF.C03.0057-5","LF","C03","0057-5",108.32
"LF.C03.0058-4","LF","C03","0058-4",123.26
"LF.C03.0059-3","LF","C03","0059-3",102.24
"LF.C03.0060-2","LF","C03","0060-2",110.79
"LF.C03.0061-1","LF","C03","0061-1",94.59
"LF.C03.0062-0","LF","C03","0062-0",90.73
"LF.C03.0063-8","LF","C03","0063-8",123.43
"LF.C03.0064-7","LF","C03","0064-7",73.14
"LF.C03.0065-6","LF","C03","0065-6",68.78
"LF.C03.0066-5","LF","C03","0066-5",44.44
"LF.C03.0067-4","LF","C03","0067-4",34.72
"LF.C03.0068-3","LF","C03","0068-3",37.87
"LF.C03.0069-2","LF","C03","0069-2",89.74
"LF.C03.0070-1","LF","C03","0070-1",37.46
"LF.C03.0071-0","LF","C03","0071-0",69.25
"LF.C03.0072-8","LF","C03","0072-8",70.64
"LF.C03.0073-7","LF","C03","0073-7",41.68
"LF.C03.0074-6","LF","C03","0074-6",37.97
"LF.C03.0075-5","LF","C03","0075-5",91.64
"LF.C03.0076-4","LF","C03","0076-4",63.60
"LF.C03.0077-3","LF","C03","0077-3",124.78
"LF.C03.0078-2","LF","C03","0078-2",70.22
"LF.C03.0079-1","LF","C03","0079-1",102.86
"LF.C03.0080-0","LF","C03","0080-0",93.38
"LF.C03.0081-8","LF","C03","0081-8",71.83
"LF.C03.0082-7","LF","C03","0082-7",80.81
"LF.C03.0083-6","LF","C03","0083-6",91.08
"LF.C03.0084-5","LF","C03","0084-5",60.38
"LF.C03.0085-4","LF","C03","0085-4",50.92
"LF.C03.0086-3","LF","C03","0086-3",47.30
"LF.C03.0087-2","LF","C03","0087-2",110.07
"LF.C03.0088-1","LF","C03","0088-1",83.92
"LF.C03.0089-0","LF","C03","0089-0",57.20
"LF.C03.0090-8","LF","C03","0090-8",104.49
"LF.C03.0091-7","LF","C03","0091-7",38.50
"LF.C03.0092-6","LF","C03","0092-6",77.84
"LF.C03.0093-5","LF","C03","0093-5",49.22
"LF.C03.0094-4","LF","C03","0094-4",37.62
"LF.C03.0095-3","LF","C03","0095-3",54.71
"LF.C03.0096-2","LF","C03","0096-2",118.20
"LF.C03.0097-1","LF","C03","0097-1",96.93
"LF.C03.0098-0","LF","C03","0098-0",114.28
"LF.C03.0099-8","LF","C03","0099-8",63.41
"LF.C03.0100-7","LF","C03","0100-7",95.98
"LF.C03.0101-6","LF","C03","0101-6",84.58
"LF.C03.0102-5","LF","C03","0102-5",36.33
"LF.C03.0103-4","LF","C03","0103-4",40.10
"LF.C03.0104-3","LF","C03","0104-3",116.08
"LF.C03.0105-2","LF","C03","0105-2",76.24
"LF.C03.0106-1","LF","C03","0106-1",124.37
"LF.C03.0107-0","LF","C03","0107-0",100.14
"LF.C03.0108-8","LF","C03","0108-8",50.01
"LF.C03.0109-7","LF","C03","0109-7",101.48
"LF.C03.0110-6","LF","C03","0110-6",106.19
"LF.C03.0111-5","LF","C03","0111-5",119.38
"LF.C03.0112-4","LF","C03","0112-4",112.62
"LF.C03.0113-3","LF","C03","0113-3",94.41
"LF.C03.0114-2","LF","C03","0114-2",52.77
"LF.C03.0115-1","LF","C03","0115-1",108.94
"LF.C03.0116-0","LF","C03","0116-0",74.61
"LF.C03.0117-8","LF","C03","0117-8",46.56
"LF.C03.0118-7","LF","C03","0118-7",110.72
"LF.C03.0119-6","LF","C03","0119-6",100.56
"LF.C03.0120-5","LF","C03","0120-5",109.31
"LF.C03.0121-4","LF","C03","0121-4",100.96
"LF.C03.0122-3","LF","C03","0122-3",99.54
"LF.C03.0123-2","LF","C03","0123-2",104.95
"LF.C03.0124-1","LF","C03","0124-1",109.33
"LF.C03.0125-0","LF","C03","0125-0",114.03
"LF.C03.0126-8","LF","C03","0126-8",43.79
"LF.C03.0127-7","LF","C03","0127-7",56.08
"LF.C03.0128-6","LF","C03","0128-6",43.36
"LF.C03.0129-5","LF","C03","0129-5",46.41
"LF.C03.0130-4","LF","C03","0130-4",87.89
"LF.C03.0131-3","LF","C03","0131-3",85.92
"LF.C03.0132-2","LF","C03","0132-2",104.37
"LF.C03.0133-1","LF","C03","0133-1",56.02
"LF.C03.0134-0","LF","C03","0134-0",86.40
"LF.C03.0135-8","LF","C03","0135-8",98.00
"LF.C03.0136-7","LF","C03","0136-7",126.91
"LF.C03.0137-6","LF","C03","0137-6",60.06
"LF.C03.0138-5","LF","C03","0138-5",51.82
"LF.C03.0139-4","LF","C03","0139-4",53.80
"LF.C03.0140-3","LF","C03","0140-3",47.12
"LF.C03.0141-2","LF","C03","0141-2",117.70
"LF.C03.0142-1","LF","C03","0142-1",128.00
"LF.C03.0143-0","LF","C03","0143-0",41.52
"LF.C03.0144-8","LF","C03","0144-8",117.33
"LF.C03.0145-7","LF","C03","0145-7",113.28
"LF.C03.0146-6","LF","C03","0146-6",68.39
"LF.C03.0147-5","LF","C03","0147-5",112.21
"LF.C03.0148-4","LF","C03","0148-4",75.91
"LF.C03.0149-3","LF","C03","0149-3",99.02
"LF.C03.0150-2","LF","C03","0150-2",35.55
"LF.C03.0151-1","LF","C03","0151-1",72.07
"LF.C03.0152-0","LF","C03","0152-0",86.16
"LF.C03.0153-8","LF","C03","0153-8",103.53
"LF.C03.0154-7","LF","C03","0154-7",123.84
"LF.C03.0155-6","LF","C03","0155-6",52.91
"LF.C03.0156-5","LF","C03","0156-5",55.62
"LF.C03.0157-4","LF","C03","0157-4",80.65
"LF.C03.0158-3","LF","C03","0158-3",53.44
"LF.C03.0159-2","LF","C03","0159-2",59.13
"LF.C03.0160-1","LF","C03","0160-1",46.42
"LF.C03.0161-0","LF","C03","0161-0",83.89
"LF.C03.0162-8","LF","C03","0162-8",124.51
"LF.C03.0163-7","LF","C03","0163-7",75.15
"LF.C03.0164-6","LF","C03","0164-6",125.84
"LF.C03.0165-5","LF","C03","0165-5",38.42
"LF.C03.0166-4","LF","C03","0166-4",78.39
"LF.C03.0167-3","LF","C03","0167-3",125.99
"LF.C03.0168-2","LF","C03","0168-2",64.84
"LF.C03.0169-1","LF","C03","0169-1",40.43
"LF.C03.0170-0","LF","C03","0170-0",113.69
"LF.C03.0171-8","LF","C03","0171-8",123.08
"LF.C03.0172-7","LF","C03","0172-7",127.99
"LF.C03.0173-6","LF","C03","0173-6",97.15
"LF.C03.0174-5","LF","C03","0174-5",77.68
"LF.C03.0175-4","LF","C03","0175-4",125.57
"LF.C03.0176-3","LF","C03","0176-3",37.90
"LF.C03.0177-2","LF","C03","0177-2",43.63
"LF.C03.0178-1","LF","C03","0178-1",36.54
"LF.C03.0179-0","LF","C03","0179-0",118.72
"LF.C03.0180-8","LF","C03","0180-8",49.73
"LF.C03.0181-7","LF","C03","0181-7",69.77
"LF.C03.0182-6","LF","C03","0182-6",109.69
"LF.C03.0183-5","LF","C03","0183-5",123.02
"LF.C03.0184-4","LF","C03","0184-4",103.70
"LF.C03.0185-3","LF","C03","0185-3",102.02
"LF.C03.0186-2","LF","C03","0186-2",48.74
"LF.C03.0187-1","LF","C03","0187-1",64.77
"LF.C03.0188-0","LF","C03","0188-0",68.04
"LF.C03.0189-8","LF","C03","0189-8",76.94
"LF.C03.0190-7","LF","C03","0190-7",97.54
"LF.C03.0191-6","LF","C03","0191-6",123.36
"LF.C03.0192-5","LF","C03","0192-5",61.44
"LF.C03.0193-4","LF","C03","0193-4",121.62
"LF.C03.0194-3","LF","C03","0194-3",112.90
"LF.C03.0195-2","LF","C03","0195-2",82.75
"LF.C03.0196-1","LF","C03","0196-1",73.65
"LF.C03.0197-0","LF","C03","0197-0",118.03
"LF.C04.0001-7","LF","C04","0001-7",123.69
"LF.C04.0002-6","LF","C04","0002-6",127.73
"LF.C04.0003-5","LF","C04","0003-5",44.02
"LF.C04.0004-4","LF","C04","0004-4",113.52
"LF.C04.0005-3","LF","C04","0005-3",68.05
"LF.C04.0006-2","LF","C04","0006-2",45.92
"LF.C04.0007-1","LF","C04","0007-1",98.77
"LF.C04.0008-0","LF","C04","0008-0",46.76
"LF.C04.0009-8","LF","C04","0009-8",47.44
"LF.C04.0010-7","LF","C04","0010-7",42.48
"LF.C04.0011-6","LF","C04","0011-6",41.87
"LF.C04.0012-5","LF","C04","0012-5",73.70
"LF.C04.0013-4","LF","C04","0013-4",62.45
"LF.C04.0014-3","LF","C04","0014-3",119.61
"LF.C04.0015-2","LF","C04","0015-2",86.45
"LF.C04.0016-1","LF","C04","0016-1",51.89
"LF.C04.0017-0","LF","C04","0017-0",116.30
"LF.C04.0018-8","LF","C04","0018-8",108.13
"LF.C04.0019-7","LF","C04","0019-7",48.94
"LF.C04.0020-6","LF","C04","0020-6",68.42
"LF.C04.0021-5","LF","C04","0021-5",70.75
"LF.C04.0022-4","LF","C04","0022-4",56.40
"LF.C04.0023-3","LF","C04","0023-3",68.78
"LF.C04.0024-2","LF","C04","0024-2",92.07
"LF.C04.0025-1","LF","C04","0025-1",65.50
"LF.C04.0026-0","LF","C04","0026-0",108.99
"LF.C04.0027-8","LF","C04","0027-8",81.97
"LF.C04.0028-7","LF","C04","0028-7",120.68
"LF.C04.0029-6","LF","C04","0029-6",44.41
"LF.C04.0030-5","LF","C04","0030-5",63.47
"LF.C04.0031-4","LF","C04","0031-4",77.90
"LF.C04.0032-3","LF","C04","0032-3",71.53
"LF.C04.0033-2","LF","C04","0033-2",69.78
"LF.C04.0034-1","LF","C04","0034-1",85.59
"LF.C04.0035-0","LF","C04","0035-0",81.59
"LF.C04.0036-8","LF","C04","0036-8",93.76
"LF.C04.0037-7","LF","C04","0037-7",118.39
"LF.C04.0038-6","LF","C04","0038-6",104.84
"LF.C04.0039-5","LF","C04","0039-5",104.70
"LF.C04.0040-4","LF","C04","0040-4",35.58
"LF.C04.0041-3","LF","C04","0041-3",63.11
"LF.C04.0042-2","LF","C04","0042-2",36.64
"LF.C04.0043-1","LF","C04","0043-1",58.42
"LF.C04.0044-0","LF","C04","0044-0",90.33
"LF.C04.0045-8","LF","C04","0045-8",96.33
"LF.C04.0046-7","LF","C04","0046-7",62.27
"LF.C04.0047-6","LF","C04","0047-6",120.44
"LF.C04.0048-5","LF","C04","0048-5",108.33
"LF.C04.0049-4","LF","C04","0049-4",86.21
"LF.C04.0050-3","LF","C04","0050-3",90.58
"LF.C04.0051-2","LF","C04","0051-2",90.89
"LF.C04.0052-1","LF","C04","0052-1",104.30
"LF.C04.0053-0","LF","C04","0053-0",79.34
"LF.C04.0054-8","LF","C04","0054-8",118.26
"LF.C04.0055-7","LF","C04","0055-7",41.89
"LF.C04.0056-6","LF","C04","0056-6",107.01
"LF.C04.0057-5","LF","C04","0057-5",108.32
"LF.C04.0058-4","LF","C04","0058-4",123.26
"LF.C04.0059-3","LF","C04","0059-3",102.24
"LF.C04.0060-2","LF","C04","0060-2",110.79
"LF.C04.0061-1","LF","C04","0061-1",94.59
"LF.C04.0062-0","LF","C04","0062-0",90.73
"LF.C04.0063-8","LF","C04","0063-8",123.43
"LF.C04.0064-7","LF","C04","0064-7",73.14
"LF.C04.0065-6","LF","C04","0065-6",68.78
"LF.C04.0066-5","LF","C04","0066-5",44.44
"LF.C04.0067-4","LF","C04","0067-4",34.72
"LF.C04.0068-3","LF","C04","0068-3",37.87
"LF.C04.0069-2","LF","C04","0069-2",89.74
"LF.C04.0070-1","LF","C04","0070-1",37.46
"LF.C04.0071-0","LF","C04","0071-0",69.25
"LF.C04.0072-8","LF","C04","0072-8",70.64
"LF.C04.0073-7","LF","C04","0073-7",41.68
"LF.C04.0074-6","LF","C04","0074-6",37.97
"LF.C04.0075-5","LF","C04","0075-5",91.64
"LF.C04.0076-4","LF","C04","0076-4",63.60
"LF.C04.0077-3","LF","C04","0077-3",124.78
"LF.C04.0078-2","LF","C04","0078-2",70.22
"LF.C04.0079-1","LF","C04","0079-1",102.86
"LF.C04.0080-0","LF","C04","0080-0",93.38
"LF.C04.0081-8","LF","C04","0081-8",71.83
"LF.C04.0082-7","LF","C04","0082-7",80.81
"LF.C04.0083-6","LF","C04","0083-6",91.08
"LF.C04.0084-5","LF","C04","0084-5",60.38
"LF.C04.0085-4","LF","C04","0085-4",50.92
"LF.C04.0086-3","LF","C04","0086-3",47.30
"LF.C04.0087-2","LF","C04","0087-2",110.07
"LF.C04.0088-1","LF","C04","0088-1",83.92
"LF.C04.0089-0","LF","C04","0089-0",57.20
"LF.C04.0090-8","LF","C04","0090-8",104.49
"LF.C04.0091-7","LF","C04","0091-7",38.50
"LF.C04.0092-6","LF","C04","0092-6",77.84
"LF.C04.0093-5","LF","C04","0093-5",49.22
"LF.C04.0094-4","LF","C04","0094-4",37.62
"LF.C04.0095-3","LF","C04","0095-3",54.71
"LF.C04.0096-2","LF","C04","0096-2",118.20
"LF.C04.0097-1","LF","C04","0097-1",96.93
"LF.C04.0098-0","LF","C04","0098-0",114.28
"LF.C04.0099-8","LF","C04","0099-8",63.41
"LF.C04.0100-7","LF","C04","0100-7",95.98
"LF.C04.0101-6","LF","C04","0101-6",84.58
"LF.C04.0102-5","LF","C04","0102-5",36.33
"LF.C04.0103-4","LF","C04","0103-4",40.10
"LF.C04.0104-3","LF","C04","0104-3",116.08
"LF.C04.0105-2","LF","C04","0105-2",76.24
"LF.C04.0106-1","LF","C04","0106-1",124.37
"LF.C04.0107-0","LF","C04","0107-0",100.14
"LF.C04.0108-8","LF","C04","0108-8",50.01
"LF.C04.0109-7","LF","C04","0109-7",101.48
"LF.C04.0110-6","LF","C04","0110-6",106.19
"LF.C04.0111-5","LF","C04","0111-5",119.38
"LF.C04.0112-4","LF","C04","0112-4",112.62
"LF.C04.0113-3","LF","C04","0113-3",94.41
"LF.C04.0114-2","LF","C04","0114-2",52.77
"LF.C04.0115-1","LF","C04","0115-1",108.94
"LF.C04.0116-0","LF","C04","0116-0",74.61
"LF.C04.0117-8","LF","C04","0117-8",46.56
"LF.C04.0118-7","LF","C04","0118-7",110.72
"LF.C04.0119-6","LF","C04","0119-6",100.56
"LF.C04.0120-5","LF","C04","0120-5",109.31
"LF.C04.0121-4","LF","C04","0121-4",100.96
"LF.C04.0122-3","LF","C04","0122-3",99.54
"LF.C04.0123-2","LF","C04","0123-2",104.95
"LF.C04.0124-1","LF","C04","0124-1",109.33
"LF.C04.0125-0","LF","C04","0125-0",114.03
"LF.C04.0126-8","LF","C04","0126-8",43.79
"LF.C04.0127-7","LF","C04","0127-7",56.08
"LF.C04.0128-6","LF","C04","0128-6",43.36
"LF.C04.0129-5","LF","C04","0129-5",46.41
"LF.C04.0130-4","LF","C04","0130-4",87.89
"LF.C04.0131-3","LF","C04","0131-3",85.92
"LF.C04.0132-2","LF","C04","0132-2",104.37
"LF.C04.0133-1","LF","C04","0133-1",56.02
"LF.C04.0134-0","LF","C04","0134-0",86.40
"LF.C04.0135-8","LF","C04","0135-8",98.00
"LF.C04.0136-7","LF","C04","0136-7",126.91
"LF.C04.0137-6","LF","C04","0137-6",60.06
"LF.C04.0138-5","LF","C04","0138-5",51.82
"LF.C04.0139-4","LF","C04","0139-4",53.80
"LF.C04.0140-3","LF","C04","0140-3",47.12
"LF.C04.0141-2","LF","C04","0141-2",117.70
"LF.C04.0142-1","LF","C04","0142-1",128.00
"LF.C04.0143-0","LF","C04","0143-0",41.52
"LF.C04.0144-8","LF","C04","0144-8",117.33
"LF.C04.0145-7","LF","C04","0145-7",113.28
"LF.C04.0146-6","LF","C04","0146-6",68.39
"LF.C04.0147-5","LF","C04","0147-5",112.21
"LF.C04.0148-4","LF","C04","0148-4",75.91
"LF.C04.0149-3","LF","C04","0149-3",99.02
"LF.C04.0150-2","LF","C04","0150-2",35.55
"LF.C04.0151-1","LF","C04","0151-1",72.07
"LF.C04.0152-0","LF","C04","0152-0",86.16
"LF.C04.0153-8","LF","C04","0153-8",103.53
"LF.C04.0154-7","LF","C04","0154-7",123.84
"LF.C04.0155-6","LF","C04","0155-6",52.91
"LF.C04.0156-5","LF","C04","0156-5",55.62
"LF.C04.0157-4","LF","C04","0157-4",80.65
"LF.C04.0158-3","LF","C04","0158-3",53.44
"LF.C04.0159-2","LF","C04","0159-2",59.13
"LF.C04.0160-1","LF","C04","0160-1",46.42
"LF.C04.0161-0","LF","C04","0161-0",83.89
