"Número da Nota Fiscal","Código do Vendedor","Data da Venda","Código do Cliente","Código IBGE","Código da Forma de Pagamento"
"020777","V1030",12/20/2017,"3589","2511806","1"
"020778","V1080",12/21/2017,"6938","3305554","2"
"020779","V1070",12/21/2017,"9225","2303303","4"
"020780","V1030",12/21/2017,"8465","4306502","4"
"020781","V1270",12/21/2017,"6719","4124020","3"
"020782","V1030",12/21/2017,"6938","2411056","2"
"020783","V1240",12/21/2017,"1229","2304657","3"
"020784","V1210",12/21/2017,"2341","2102374","1"
"020785","V1040",12/21/2017,"2341","3520608","1"
"020786","V1210",12/21/2017,"5604","3152402","1"
"020787","V1070",12/21/2017,"5604","4301925","3"
"020788","V1300",12/21/2017,"3589","4118303","3"
"020789","V1070",12/21/2017,"3794","2923209","4"
"020790","V1190",12/21/2017,"5835","4322400","4"
"020791","V1110",12/21/2017,"8803","2900355","3"
"020792","V1230",12/21/2017,"5604","2916856","1"
"020793","V1010",12/21/2017,"6162","4117602","3"
"020794","V1200",12/21/2017,"6938","4310900","3"
"020795","V1170",12/21/2017,"4642","2108504","1"
"020796","V1200",12/21/2017,"1424","2101004","2"
"020797","V1030",12/21/2017,"1229","1304260","1"
"020798","V1200",12/21/2017,"5956","2310803","1"
"020799","V1290",12/21/2017,"4654","5002605","1"
"020800","V1190",12/21/2017,"8573","2311264","2"
"020801","V1060",12/21/2017,"3081","4103958","3"
"020802","V1170",12/21/2017,"3589","3157500","3"
"020803","V1250",12/21/2017,"8465","4311791","3"
"020804","V1020",12/21/2017,"9232","3139409","1"
"020805","V1090",12/21/2017,"9225","3136900","4"
"020806","V1150",12/21/2017,"5604","3109303","3"
"020807","V1180",12/21/2017,"8573","4122172","1"
"020808","V1050",12/21/2017,"9559","2929305","1"
"020809","V1020",12/21/2017,"4654","4301503","3"
"020810","V1110",12/21/2017,"4642","2308609","4"
"020811","V1010",12/21/2017,"8961","5101605","4"
"020812","V1060",12/21/2017,"4642","3158805","1"
"020813","V1070",12/21/2017,"4964","1502707","1"
"020814","V1140",12/21/2017,"5323","4310363","4"
"020815","V1090",12/21/2017,"3081","5212204","4"
"020816","V1190",12/21/2017,"3081","2105104","2"
"020817","V1120",12/21/2017,"3081","3118106","2"
"020818","V1300",12/21/2017,"8961","3123700","4"
"020819","V1260",12/21/2017,"5835","3159100","1"
"020820","V1070",12/21/2017,"3589","3523602","2"
"020821","V1080",12/21/2017,"3794","2304103","3"
"020822","V1260",12/21/2017,"3081","2107803","2"
"020823","V1240",12/21/2017,"5835","2923100","4"
"020824","V1150",12/21/2017,"4654","2701506","4"
"020825","V1060",12/21/2017,"6938","2708105","4"
"020826","V1110",12/21/2017,"5323","4315107","4"
"020827","V1220",12/21/2017,"2046","3514700","3"
"020828","V1010",12/21/2017,"5835","5216304","3"
"020829","V1220",12/21/2017,"6809","3166808","1"
"020830","V1110",12/21/2017,"2046","1715507","3"
"020831","V1300",12/21/2017,"6719","4119400","1"
"020832","V1240",12/21/2017,"5835","4305702","1"
"020833","V1130",12/22/2017,"2046","3164001","2"
"020834","V1130",12/22/2017,"3794","3130051","1"
"020835","V1180",12/22/2017,"9225","2303501","1"
"020836","V1260",12/22/2017,"3081","3304201","1"
"020837","V1230",12/22/2017,"8961","4115408","4"
"020838","V1300",12/22/2017,"9559","1504802","3"
"020839","V1020",12/22/2017,"9225","3303104","2"
"020840","V1180",12/22/2017,"3589","1705557","4"
"020841","V1060",12/22/2017,"5604","4306957","1"
"020842","V1270",12/22/2017,"4040","4212007","2"
"020843","V1150",12/22/2017,"3081","3515509","2"
"020844","V1120",12/22/2017,"1682","1507805","2"
"020845","V1180",12/22/2017,"4964","2203909","4"
"020846","V1130",12/22/2017,"4040","4202404","3"
"020847","V1130",12/22/2017,"5956","3536570","3"
"020848","V1160",12/22/2017,"4642","4123808","4"
"020849","V1160",12/22/2017,"1682","2404408","4"
"020850","V1080",12/22/2017,"6938","2401859","2"
"020851","V1230",12/22/2017,"1682","2515401","1"
"020852","V1010",12/22/2017,"3589","3111408","3"
"020853","V1260",12/22/2017,"9969","2201176","1"
"020854","V1090",12/22/2017,"9969","4128633","4"
"020855","V1160",12/22/2017,"9969","2404606","3"
"020856","V1090",12/22/2017,"4964","2605509","2"
"020857","V1030",12/22/2017,"8803","2805208","3"
"020858","V1110",12/22/2017,"3794","4309506","1"
"020859","V1100",12/22/2017,"4654","2907905","2"
"020860","V1010",12/22/2017,"1682","3304557","3"
"020861","V1280",12/22/2017,"2341","5218300","4"
"020862","V1190",12/22/2017,"1229","2106631","3"
"020863","V1300",12/22/2017,"4654","3521804","4"
"020864","V1220",12/22/2017,"4654","3111606","4"
"020865","V1300",12/22/2017,"1682","2911006","2"
"020866","V1060",12/22/2017,"5835","3164308","3"
"020867","V1270",12/22/2017,"1229","3139102","1"
"020868","V1190",12/22/2017,"9225","5003900","1"
"020869","V1290",12/22/2017,"1424","1720978","3"
"020870","V1090",12/22/2017,"8573","3120508","2"
"020871","V1180",12/22/2017,"4040","2105401","1"
"020872","V1240",12/22/2017,"6809","3123809","2"
"020873","V1190",12/22/2017,"6938","3516853","1"
"020874","V1010",12/22/2017,"9969","2109700","4"
"020875","V1020",12/22/2017,"6162","3554755","2"
"020876","V1250",12/22/2017,"6162","4109658","1"
"020877","V1170",12/22/2017,"3589","1502103","3"
"020878","V1270",12/22/2017,"3081","3112703","2"
"020879","V1190",12/22/2017,"1229","2106631","1"
"020880","V1230",12/22/2017,"1682","5004700","4"
"020881","V1060",12/22/2017,"6809","2613701","4"
"020882","V1110",12/22/2017,"8803","2414308","4"
"020883","V1030",12/22/2017,"5323","3109600","2"
"020884","V1220",12/22/2017,"6809","3167004","4"
"020885","V1180",12/22/2017,"1229","3517406","1"
"020886","V1150",12/22/2017,"5835","3141702","4"
"020887","V1160",12/23/2017,"4964","1200104","3"
"020888","V1210",12/23/2017,"8803","3107000","1"
"020889","V1260",12/23/2017,"4642","4121703","1"
"020890","V1230",12/23/2017,"3589","3114006","2"
"020891","V1090",12/23/2017,"5835","2905008","1"
"020892","V1100",12/23/2017,"9232","3543402","1"
"020893","V1070",12/23/2017,"4654","2906907","4"
"020894","V1090",12/23/2017,"4964","2704500","2"
"020895","V1300",12/23/2017,"4980","2929909","4"
"020896","V1240",12/23/2017,"9969","1400605","4"
"020897","V1200",12/23/2017,"9559","2102556","1"
"020898","V1010",12/23/2017,"6162","2511301","1"
"020899","V1070",12/23/2017,"6938","2903409","2"
"020900","V1080",12/23/2017,"6809","4208203","4"
"020901","V1220",12/23/2017,"4040","2305407","3"
"020902","V1060",12/23/2017,"2341","3144201","4"
"020903","V1220",12/23/2017,"9232","5219209","3"
"020904","V1010",12/23/2017,"9225","4302501","2"
"020905","V1130",12/23/2017,"5604","3543808","1"
"020906","V1060",12/23/2017,"1229","2604908","3"
"020907","V1060",12/23/2017,"5323","3544400","1"
"020908","V1270",12/23/2017,"4964","3167608","2"
"020909","V1070",12/23/2017,"4654","4111555","3"
"020910","V1160",12/23/2017,"3589","4303400","3"
"020911","V1070",12/23/2017,"6809","3527603","2"
"020912","V1280",12/23/2017,"2341","3509205","1"
"020913","V1100",12/23/2017,"1229","3533601","3"
"020914","V1200",12/23/2017,"8465","2502904","4"
"020915","V1270",12/23/2017,"3081","2107456","4"
"020916","V1150",12/23/2017,"5956","4300802","3"
"020917","V1150",12/23/2017,"4040","2907400","3"
"020918","V1220",12/23/2017,"4980","1600212","3"
"020919","V1010",12/23/2017,"5835","4207106","2"
"020920","V1230",12/23/2017,"8803","3205200","4"
"020921","V1100",12/23/2017,"8803","3168903","2"
"020922","V1170",12/23/2017,"4980","2928059","4"
"020923","V1050",12/23/2017,"1424","2110005","4"
"020924","V1200",12/23/2017,"1682","1506203","4"
"020925","V1020",12/23/2017,"3794","2305332","4"
"020926","V1080",12/23/2017,"2046","1400472","4"
"020927","V1110",12/23/2017,"1229","5218391","1"
"020928","V1200",12/23/2017,"3081","4309050","1"
"020929","V1070",12/23/2017,"2341","4300661","3"
"020930","V1170",12/23/2017,"8465","3154150","2"
"020931","V1190",12/23/2017,"5835","4117214","1"
"020932","V1250",12/23/2017,"3794","3119005","2"
"020933","V1010",12/23/2017,"4654","2611507","2"
"020934","V1010",12/23/2017,"4654","4320305","3"
"020935","V1160",12/23/2017,"4964","4219408","3"
"020936","V1190",12/23/2017,"1424","4314001","3"
"020937","V1130",12/23/2017,"3794","2409308","3"
"020938","V1220",12/23/2017,"9232","3102100","2"
"020939","V1280",12/23/2017,"3794","4305801","1"
"020940","V1100",12/23/2017,"8961","3138401","1"
"020941","V1060",12/24/2017,"1424","5219100","3"
"020942","V1190",12/24/2017,"1682","3538204","3"
"020943","V1160",12/24/2017,"4964","2607802","1"
"020944","V1020",12/24/2017,"1229","1301852","4"
"020945","V1100",12/24/2017,"5323","2931400","1"
"020946","V1080",12/24/2017,"1682","2406908","2"
"020947","V1090",12/24/2017,"4642","1502400","2"
"020948","V1240",12/24/2017,"1424","3201100","4"
"020949","V1070",12/24/2017,"8803","2923902","3"
"020950","V1190",12/24/2017,"6162","2516151","4"
"020951","V1190",12/24/2017,"6809","2104503","2"
"020952","V1080",12/24/2017,"1229","2100501","4"
"020953","V1170",12/24/2017,"8803","3540903","4"
"020954","V1250",12/24/2017,"9559","2914653","1"
"020955","V1280",12/24/2017,"2341","3137304","3"
"020956","V1250",12/24/2017,"4642","2515807","1"
"020957","V1210",12/24/2017,"5956","1703701","2"
"020958","V1110",12/24/2017,"1682","2208106","3"
"020959","V1260",12/24/2017,"4654","4214003","1"
"020960","V1210",12/24/2017,"4654","3509700","3"
"020961","V1070",12/24/2017,"9969","3505500","4"
"020962","V1060",12/24/2017,"2341","3507159","4"
"020963","V1100",12/24/2017,"2341","3302205","3"
"020964","V1070",12/24/2017,"8573","3537107","3"
"020965","V1190",12/24/2017,"9232","3525706","1"
"020966","V1280",12/24/2017,"9969","3532843","3"
"020967","V1090",12/24/2017,"5604","3123601","4"
"020968","V1200",12/24/2017,"5323","3553005","4"
"020969","V1190",12/24/2017,"2046","3115300","2"
"020970","V1010",12/24/2017,"6809","3113107","4"
"020971","V1210",12/24/2017,"4964","2923407","3"
"020972","V1240",12/24/2017,"3081","2608909","4"
"020973","V1020",12/24/2017,"4040","3514700","2"
"020974","V1110",12/24/2017,"5956","1506401","4"
"020975","V1090",12/24/2017,"9232","2404309","4"
"020976","V1230",12/24/2017,"5956","2503605","1"
"020977","V1110",12/24/2017,"9969","5206602","4"
"020978","V1290",12/24/2017,"9232","2928604","4"
"020979","V1110",12/24/2017,"2046","2401107","1"
"020980","V1020",12/24/2017,"8465","1502954","3"
"020981","V1250",12/24/2017,"6719","3156106","3"
"020982","V1280",12/24/2017,"1229","4214003","4"
"020983","V1280",12/24/2017,"8961","5105150","2"
"020984","V1020",12/24/2017,"9225","5107305","4"
"020985","V1030",12/24/2017,"4964","3128907","2"
"020986","V1260",12/24/2017,"8803","3202504","2"
"020987","V1100",12/24/2017,"2046","2207009","3"
"020988","V1140",12/24/2017,"1424","2507903","1"
"020989","V1030",12/24/2017,"8573","2308377","3"
"020990","V1090",12/24/2017,"1424","3165107","3"
"020991","V1220",12/24/2017,"3794","3204252","2"
"020992","V1160",12/24/2017,"5956","3527603","3"
"020993","V1210",12/24/2017,"1229","3513850","1"
"020994","V1110",12/24/2017,"8465","2407906","4"
"020995","V1220",12/25/2017,"1424","2311801","2"
"020996","V1030",12/25/2017,"1424","4310538","1"
"020997","V1040",12/25/2017,"9969","2927606","2"
"020998","V1050",12/25/2017,"8573","4207858","2"
"020999","V1140",12/25/2017,"6938","3153202","1"
"021000","V1290",12/25/2017,"5956","1710904","2"
"021001","V1250",12/25/2017,"6809","3123908","4"
"021002","V1280",12/25/2017,"6162","3544103","1"
"021003","V1260",12/25/2017,"4040","2510204","4"
"021004","V1120",12/25/2017,"6162","4315149","3"
"021005","V1020",12/25/2017,"4654","4109906","3"
"021006","V1100",12/25/2017,"2341","4111555","2"
"021007","V1030",12/25/2017,"5835","3527108","3"
"021008","V1080",12/25/2017,"5604","2929008","4"
"021009","V1220",12/25/2017,"3589","3522000","2"
"021010","V1040",12/25/2017,"8573","2512705","1"
"021011","V1120",12/25/2017,"8465","4311718","1"
"021012","V1150",12/25/2017,"6809","3549201","2"
"021013","V1130",12/25/2017,"8803","3106309","1"
"021014","V1020",12/25/2017,"4964","3510609","1"
"021015","V1240",12/25/2017,"6938","3305158","3"
"021016","V1040",12/25/2017,"5956","2916203","1"
"021017","V1110",12/25/2017,"5323","2904001","1"
"021018","V1020",12/25/2017,"8961","2911808","1"
"021019","V1040",12/25/2017,"4654","2803005","3"
"021020","V1170",12/25/2017,"5323","2511400","2"
"021021","V1040",12/25/2017,"4980","3157278","3"
"021022","V1010",12/25/2017,"4040","3530201","1"
"021023","V1270",12/25/2017,"4964","5218607","4"
"021024","V1100",12/25/2017,"2046","3124500","3"
"021025","V1180",12/25/2017,"2046","2401008","3"
"021026","V1110",12/25/2017,"4654","2203008","1"
"021027","V1220",12/25/2017,"5956","2910701","4"
"021028","V1090",12/25/2017,"8961","4302253","4"
"021029","V1070",12/25/2017,"5835","4128302","2"
"021030","V1080",12/25/2017,"9559","5203500","4"
"021031","V1150",12/25/2017,"6809","3515194","4"
"021032","V1250",12/25/2017,"9232","2805208","4"
"021033","V1270",12/25/2017,"4654","3531803","4"
"021034","V1090",12/25/2017,"1424","2111300","4"
"021035","V1030",12/25/2017,"3794","2102036","1"
"021036","V1290",12/25/2017,"8465","4117222","3"
"021037","V1190",12/25/2017,"9225","1707652","2"
"021038","V1260",12/25/2017,"5323","4310330","1"
"021039","V1080",12/25/2017,"8573","2918605","1"
"021040","V1160",12/25/2017,"5956","3171006","4"
"021041","V1180",12/25/2017,"9969","1707652","3"
"021042","V1240",12/25/2017,"4654","2414407","4"
"021043","V1060",12/25/2017,"8465","5211602","3"
"021044","V1220",12/25/2017,"6162","2105005","4"
"021045","V1120",12/25/2017,"3794","4205555","3"
"021046","V1250",12/25/2017,"5835","2104107","1"
"021047","V1260",12/25/2017,"9559","2705804","1"
"021048","V1070",12/25/2017,"9232","3531704","3"
"021049","V1210",12/25/2017,"8803","3149309","3"
"021050","V1080",12/25/2017,"5956","2410405","2"
"021051","V1150",12/25/2017,"1229","4304309","3"
"021052","V1300",12/25/2017,"2046","3527306","3"
"021053","V1080",12/25/2017,"4980","2512705","2"
"021054","V1110",12/25/2017,"5604","4104105","2"
"021055","V1210",12/25/2017,"4964","5208301","1"
"021056","V1150",12/25/2017,"6938","2932309","4"
"021057","V1210",12/25/2017,"6809","5214838","3"
"021058","V1270",12/25/2017,"4040","1200054","4"
"021059","V1110",12/25/2017,"4040","2601201","4"
"021060","V1080",12/25/2017,"9225","4314134","1"
"021061","V1290",12/25/2017,"4980","1720655","2"
"021062","V1130",12/25/2017,"5604","3540200","2"
"021063","V1150",12/25/2017,"8803","1506195","2"
"021064","V1180",12/25/2017,"1229","3119955","3"
"021065","V1120",12/25/2017,"3081","2402709","3"
"021066","V1300",12/26/2017,"6719","1100098","3"
"021067","V1190",12/26/2017,"9232","4119954","4"
"021068","V1130",12/26/2017,"5604","2612471","2"
"021069","V1090",12/26/2017,"6809","1718808","1"
"021070","V1170",12/26/2017,"6162","4117909","2"
"021071","V1160",12/26/2017,"8573","3120201","1"
"021072","V1260",12/26/2017,"2046","2611309","1"
"021073","V1070",12/26/2017,"2341","3530201","2"
"021074","V1020",12/26/2017,"9559","2109551","2"
"021075","V1050",12/26/2017,"6938","4305934","2"
"021076","V1130",12/26/2017,"3794","3548906","3"
"021077","V1120",12/26/2017,"1682","3114550","4"
"021078","V1190",12/26/2017,"2341","3300258","3"
"021079","V1220",12/26/2017,"5323","3148756","2"
"021080","V1180",12/26/2017,"4980","3527256","2"
"021081","V1200",12/26/2017,"1229","5219456","2"
"021082","V1020",12/26/2017,"6809","3166105","2"
"021083","V1270",12/26/2017,"5956","2704906","3"
"021084","V1270",12/26/2017,"6719","2111904","4"
"021085","V1020",12/26/2017,"6719","2207959","4"
"021086","V1090",12/26/2017,"5323","4126405","3"
"021087","V1210",12/26/2017,"5835","2105708","3"
"021088","V1220",12/26/2017,"4980","5007703","2"
"021089","V1030",12/26/2017,"5835","3114501","3"
"021090","V1090",12/26/2017,"6809","3507753","4"
"021091","V1180",12/26/2017,"6809","3505500","4"
"021092","V1150",12/26/2017,"2046","4114906","4"
"021093","V1250",12/26/2017,"4980","3545308","1"
"021094","V1220",12/26/2017,"3081","3537602","1"
"021095","V1070",12/26/2017,"9559","2919553","4"
"021096","V1260",12/26/2017,"2341","2707404","1"
"021097","V1220",12/26/2017,"3081","3503000","2"
"021098","V1290",12/26/2017,"1229","3155801","3"
"021099","V1190",12/26/2017,"3081","4124004","4"
"021100","V1170",12/26/2017,"3589","3106903","1"
"021101","V1120",12/26/2017,"1682","3139102","4"
"021102","V1060",12/26/2017,"9232","2403251","4"
"021103","V1090",12/26/2017,"1229","4300802","4"
"021104","V1120",12/26/2017,"4654","3522505","1"
"021105","V1100",12/26/2017,"6162","2608107","1"
"021106","V1010",12/26/2017,"5956","3108503","4"
"021107","V1290",12/26/2017,"9559","5202353","1"
"021108","V1180",12/26/2017,"3589","4106407","4"
"021109","V1200",12/26/2017,"4964","2616506","4"
"021110","V1250",12/26/2017,"1229","3513306","4"
"021111","V1090",12/26/2017,"6162","3103603","4"
"021112","V1010",12/26/2017,"5835","5104609","3"
"021113","V1270",12/26/2017,"5835","3169000","1"
"021114","V1050",12/26/2017,"4980","3148806","2"
"021115","V1110",12/26/2017,"5323","4116406","3"
"021116","V1200",12/26/2017,"6719","2413706","1"
"021117","V1200",12/27/2017,"4040","3300506","2"
"021118","V1270",12/27/2017,"9559","5211305","4"
"021119","V1230",12/27/2017,"9559","3126505","3"
"021120","V1080",12/27/2017,"6938","4307104","4"
"021121","V1160",12/27/2017,"4654","2404101","1"
"021122","V1020",12/27/2017,"8961","2414456","4"
"021123","V1110",12/27/2017,"4964","3150703","3"
"021124","V1230",12/27/2017,"9232","2927606","2"
"021125","V1100",12/27/2017,"1682","2907905","1"
"021126","V1050",12/27/2017,"9969","3138708","2"
"021127","V1110",12/27/2017,"2341","5002159","2"
"021128","V1120",12/27/2017,"9559","3106200","1"
"021129","V1160",12/27/2017,"4964","5203203","3"
"021130","V1250",12/27/2017,"6719","4210902","4"
"021131","V1090",12/27/2017,"1682","2706406","4"
"021132","V1260",12/27/2017,"4980","2201176","1"
"021133","V1270",12/27/2017,"8803","3542305","1"
"021134","V1010",12/27/2017,"4642","4308904","1"
"021135","V1150",12/27/2017,"5323","2109551","4"
"021136","V1080",12/27/2017,"3081","2110401","4"
"021137","V1270",12/27/2017,"5604","2703700","4"
"021138","V1090",12/27/2017,"8803","3516002","3"
"021139","V1190",12/27/2017,"3589","4302709","2"
"021140","V1040",12/27/2017,"4654","3118205","1"
"021141","V1170",12/27/2017,"3081","2923001","2"
"021142","V1130",12/27/2017,"1424","3523404","4"
"021143","V1170",12/27/2017,"1229","3120904","3"
"021144","V1010",12/27/2017,"8803","2913002","1"
"021145","V1080",12/27/2017,"8803","4101309","4"
"021146","V1060",12/27/2017,"2341","4202701","1"
"021147","V1110",12/27/2017,"4040","2504702","2"
"021148","V1260",12/27/2017,"6719","3130606","1"
"021149","V1170",12/27/2017,"2046","2610905","4"
"021150","V1150",12/27/2017,"6162","2504207","3"
"021151","V1080",12/27/2017,"1682","4123808","4"
"021152","V1130",12/27/2017,"4642","3303104","4"
"021153","V1210",12/27/2017,"8961","3511300","4"
"021154","V1030",12/27/2017,"3081","2401008","3"
"021155","V1270",12/27/2017,"8573","5221304","4"
"021156","V1300",12/27/2017,"4642","3123007","1"
"021157","V1120",12/27/2017,"5956","4301909","1"
"021158","V1020",12/27/2017,"8465","5220686","3"
"021159","V1170",12/27/2017,"2341","5007307","3"
"021160","V1290",12/27/2017,"5956","2912707","2"
"021161","V1100",12/27/2017,"8465","4314423","2"
"021162","V1160",12/27/2017,"6938","3127008","3"
"021163","V1090",12/27/2017,"4040","2408508","1"
"021164","V1030",12/27/2017,"3794","5007554","3"
"021165","V1180",12/27/2017,"6938","3170800","3"
"021166","V1130",12/27/2017,"4040","3133105","3"
"021167","V1040",12/27/2017,"4642","3149150","3"
"021168","V1170",12/27/2017,"8803","3127305","3"
"021169","V1020",12/27/2017,"2046","4112504","3"
"021170","V1080",12/27/2017,"3081","3118403","3"
"021171","V1110",12/27/2017,"8573","4205308","3"
"021172","V1260",12/28/2017,"6162","4110953","1"
"021173","V1130",12/28/2017,"5956","3509205","1"
"021174","V1150",12/28/2017,"5604","3118502","2"
"021175","V1260",12/28/2017,"8803","4124806","3"
"021176","V1270",12/28/2017,"4980","2913408","4"
"021177","V1220",12/28/2017,"9225","2307007","3"
"021178","V1030",12/28/2017,"3081","5108907","1"
"021179","V1180",12/28/2017,"5323","2610400","3"
"021180","V1180",12/28/2017,"4642","2906600","1"
"021181","V1090",12/28/2017,"9969","2507903","2"
"021182","V1150",12/28/2017,"8573","5108204","3"
"021183","V1190",12/28/2017,"2341","2209500","2"
"021184","V1270",12/28/2017,"1424","2605103","2"
"021185","V1130",12/28/2017,"3589","2201903","3"
"021186","V1250",12/28/2017,"4964","4308078","4"
"021187","V1070",12/28/2017,"8961","3552304","1"
"021188","V1130",12/28/2017,"9232","4306353","4"
"021189","V1110",12/28/2017,"1424","5004502","3"
"021190","V1010",12/28/2017,"8573","3147907","2"
"021191","V1160",12/28/2017,"4654","2211209","3"
"021192","V1030",12/28/2017,"2341","2509602","3"
"021193","V1050",12/28/2017,"1229","1303601","2"
"021194","V1040",12/28/2017,"4980","2903276","3"
"021195","V1060",12/28/2017,"5323","3165107","1"
"021196","V1100",12/28/2017,"6938","4322350","2"
"021197","V1220",12/28/2017,"3589","3505807","1"
"021198","V1020",12/28/2017,"8465","2915908","3"
"021199","V1240",12/28/2017,"5835","5008404","2"
"021200","V1150",12/28/2017,"4964","2600807","2"
"021201","V1070",12/28/2017,"8465","5211503","4"
"021202","V1160",12/28/2017,"6809","5221007","1"
"021203","V1100",12/28/2017,"8465","3117876","1"
"021204","V1130",12/28/2017,"6938","2308708","2"
"021205","V1060",12/28/2017,"9969","2100501","2"
"021206","V1130",12/28/2017,"5956","2916203","3"
"021207","V1070",12/28/2017,"9969","3519071","2"
"021208","V1220",12/28/2017,"4642","2206704","4"
"021209","V1240",12/28/2017,"2046","4107009","3"
"021210","V1210",12/28/2017,"1682","1701903","1"
"021211","V1040",12/28/2017,"1682","2913101","4"
"021212","V1160",12/28/2017,"1229","4107736","3"
"021213","V1050",12/28/2017,"6162","2202026","4"
"021214","V1140",12/28/2017,"1229","4104501","3"
"021215","V1160",12/28/2017,"4964","2927309","2"
"021216","V1050",12/28/2017,"8961","4111555","4"
"021217","V1240",12/28/2017,"3589","4210308","3"
"021218","V1180",12/28/2017,"1424","4102109","4"
"021219","V1300",12/28/2017,"4654","4305900","4"
"021220","V1250",12/28/2017,"9232","1507151","3"
"021221","V1220",12/29/2017,"4654","2613701","4"
"021222","V1130",12/29/2017,"6938","2503100","3"
"021223","V1110",12/29/2017,"1682","3301900","4"
"021224","V1250",12/29/2017,"2341","2107605","1"
"021225","V1090",12/29/2017,"8961","4111209","2"
"021226","V1200",12/29/2017,"8465","2929107","3"
"021227","V1130",12/29/2017,"9969","5220280","3"
"021228","V1090",12/29/2017,"6162","2105104","1"
"021229","V1060",12/29/2017,"8803","3555000","2"
"021230","V1100",12/29/2017,"5835","3523909","2"
"021231","V1170",12/29/2017,"1682","1506559","3"
"021232","V1210",12/29/2017,"5604","4110508","2"
"021233","V1180",12/29/2017,"5604","2402402","1"
"021234","V1300",12/29/2017,"2046","2922409","2"
"021235","V1210",12/29/2017,"5835","3530003","4"
"021236","V1110",12/29/2017,"9969","4218806","3"
"021237","V1220",12/29/2017,"5835","3204955","2"
"021238","V1230",12/29/2017,"6162","2411056","2"
"021239","V1020",12/29/2017,"5604","3546603","3"
"021240","V1090",12/29/2017,"9225","3205200","3"
"021241","V1030",12/29/2017,"6938","4212106","2"
"021242","V1070",12/29/2017,"8803","1100296","1"
"021243","V1160",12/29/2017,"9232","3512704","1"
"021244","V1180",12/29/2017,"3081","3511409","2"
"021245","V1160",12/29/2017,"2046","2909208","4"
"021246","V1250",12/29/2017,"4642","3102803","1"
"021247","V1300",12/29/2017,"8803","3159100","1"
"021248","V1270",12/29/2017,"5604","2922607","4"
"021249","V1090",12/29/2017,"4040","2702801","3"
"021250","V1240",12/29/2017,"8803","4214607","1"
"021251","V1030",12/29/2017,"8573","3546900","1"
"021252","V1100",12/29/2017,"3794","3114550","2"
"021253","V1120",12/29/2017,"4964","5006275","1"
"021254","V1210",12/29/2017,"1229","5105234","2"
"021255","V1210",12/29/2017,"4964","2924678","1"
"021256","V1110",12/29/2017,"4642","4117271","2"
"021257","V1190",12/29/2017,"3081","3526308","4"
"021258","V1150",12/29/2017,"4654","3113404","4"
"021259","V1110",12/29/2017,"1229","4109906","4"
"021260","V1280",12/29/2017,"4980","4103305","1"
"021261","V1140",12/29/2017,"9225","3300605","2"
"021262","V1170",12/29/2017,"4040","3505302","4"
"021263","V1040",12/29/2017,"9969","3544905","3"
"021264","V1210",12/29/2017,"8803","4106555","4"
"021265","V1290",12/29/2017,"9232","5212253","1"
"021266","V1070",12/29/2017,"4980","2805505","4"
"021267","V1260",12/29/2017,"9232","3126208","2"
"021268","V1040",12/29/2017,"8803","3161403","3"
"021269","V1190",12/29/2017,"2341","4302006","3"
"021270","V1260",12/29/2017,"2341","2207553","1"
"021271","V1080",12/29/2017,"8961","4208203","3"
"021272","V1010",12/30/2017,"6809","3164704","2"
"021273","V1250",12/30/2017,"4654","3152808","4"
"021274","V1080",12/30/2017,"8803","2502003","2"
"021275","V1250",12/30/2017,"8961","4315354","1"
"021276","V1040",12/30/2017,"5323","3546801","3"
"021277","V1290",12/30/2017,"2341","2209005","2"
"021278","V1290",12/30/2017,"8803","3545209","3"
"021279","V1220",12/30/2017,"6938","4203907","3"
"021280","V1100",12/30/2017,"5604","2207801","1"
"021281","V1140",12/30/2017,"3589","3203106","4"
"021282","V1150",12/30/2017,"9232","2932101","2"
"021283","V1290",12/30/2017,"4980","2106904","3"
"021284","V1070",12/30/2017,"9225","3515707","3"
"021285","V1120",12/30/2017,"4040","3117405","2"
"021286","V1060",12/30/2017,"6162","4128658","2"
"021287","V1160",12/30/2017,"4654","4313359","3"
"021288","V1110",12/30/2017,"2046","3542305","2"
"021289","V1210",12/30/2017,"6719","1302900","4"
"021290","V1160",12/30/2017,"9232","3165552","4"
"021291","V1260",12/30/2017,"6162","3554656","4"
"021292","V1230",12/30/2017,"4980","4306072","3"
"021293","V1030",12/30/2017,"4654","3521903","2"
"021294","V1160",12/30/2017,"1424","3163805","1"
"021295","V1060",12/30/2017,"8465","1505486","1"
"021296","V1260",12/30/2017,"5604","3556958","4"
"021297","V1130",12/30/2017,"5604","4100459","4"
"021298","V1030",12/30/2017,"3081","4313060","3"
"021299","V1130",12/30/2017,"5323","5104203","4"
"021300","V1180",12/30/2017,"4040","3519907","2"
"021301","V1030",12/30/2017,"6162","4104808","4"
"021302","V1080",12/30/2017,"6719","2925709","1"
"021303","V1060",12/30/2017,"6809","4314506","1"
"021304","V1200",12/30/2017,"1424","3514908","2"
"021305","V1190",12/30/2017,"6162","2202653","2"
"021306","V1050",12/30/2017,"5956","4122602","2"
"021307","V1130",12/30/2017,"8803","4306429","2"
"021308","V1270",12/30/2017,"5323","3118809","2"
"021309","V1260",12/30/2017,"5323","2603405","4"
"021310","V1080",12/30/2017,"4654","4113205","4"
"021311","V1250",12/30/2017,"8961","2504108","3"
"021312","V1150",12/30/2017,"5835","5220405","1"
